,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year
133,37.63757,122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.3,7.3,9.4,2021
134,37.63757,122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.8,7.7,9.9,2022
135,37.63757,122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.1,7.7,8.5,2018
136,37.63757,122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.2,7.8,8.5,2019
137,37.63757,122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.4,8.1,8.7,2020
138,37.63757,122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.3,7.3,9.4,2021
139,37.63757,122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
140,37.63757,122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.1,7.7,8.5,2018
141,37.63757,122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.2,7.8,8.5,2019
142,37.63757,122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.4,8.1,8.7,2020
143,37.63757,122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.3,7.3,9.4,2021
144,37.63757,122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.8,7.7,9.9,2022
145,37.63757,122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.1,7.7,8.5,2018
146,37.63757,122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.2,7.8,8.5,2019
147,37.63757,122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.4,8.1,8.7,2020
148,37.63757,122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.3,7.3,9.4,2021
149,37.63757,122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
150,37.63757,122.4327,2024-11-13 00:00:00+00:00,3.75,Brentwood Park,11,Wednesday,11,False,6081602400,8.1,7.7,8.5,2018
151,37.63757,122.4327,2024-11-13 00:00:00+00:00,3.75,Brentwood Park,11,Wednesday,11,False,6081602400,8.2,7.8,8.5,2019
152,37.63757,122.4327,2024-11-13 00:00:00+00:00,3.75,Brentwood Park,11,Wednesday,11,False,6081602400,8.4,8.1,8.7,2020
153,37.63757,122.4327,2024-11-13 00:00:00+00:00,3.75,Brentwood Park,11,Wednesday,11,False,6081602400,8.3,7.3,9.4,2021
154,37.63757,122.4327,2024-11-13 00:00:00+00:00,3.75,Brentwood Park,11,Wednesday,11,False,6081602400,8.8,7.7,9.9,2022
155,37.63757,122.4327,2025-01-03 00:00:00+00:00,8.47,Brentwood Park,1,Friday,1,False,6081602400,8.1,7.7,8.5,2018
156,37.63757,122.4327,2025-01-03 00:00:00+00:00,8.47,Brentwood Park,1,Friday,1,False,6081602400,8.2,7.8,8.5,2019
157,37.63757,122.4327,2025-01-03 00:00:00+00:00,8.47,Brentwood Park,1,Friday,1,False,6081602400,8.4,8.1,8.7,2020
158,37.63757,122.4327,2025-01-03 00:00:00+00:00,8.47,Brentwood Park,1,Friday,1,False,6081602400,8.3,7.3,9.4,2021
159,37.63757,122.4327,2025-01-03 00:00:00+00:00,8.47,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
160,37.63757,122.4327,2025-01-04 00:00:00+00:00,4.97,Brentwood Park,1,Saturday,1,False,6081602400,8.1,7.7,8.5,2018
161,37.63757,122.4327,2025-01-04 00:00:00+00:00,4.97,Brentwood Park,1,Saturday,1,False,6081602400,8.2,7.8,8.5,2019
162,37.63757,122.4327,2025-01-04 00:00:00+00:00,4.97,Brentwood Park,1,Saturday,1,False,6081602400,8.4,8.1,8.7,2020
163,37.63757,122.4327,2025-01-04 00:00:00+00:00,4.97,Brentwood Park,1,Saturday,1,False,6081602400,8.3,7.3,9.4,2021
164,37.63757,122.4327,2025-01-04 00:00:00+00:00,4.97,Brentwood Park,1,Saturday,1,False,6081602400,8.8,7.7,9.9,2022
165,37.63757,122.4327,2025-01-07 00:00:00+00:00,3.59,Brentwood Park,1,Tuesday,1,False,6081602400,8.1,7.7,8.5,2018
166,37.63757,122.4327,2025-01-07 00:00:00+00:00,3.59,Brentwood Park,1,Tuesday,1,False,6081602400,8.2,7.8,8.5,2019
167,37.63757,122.4327,2025-01-07 00:00:00+00:00,3.59,Brentwood Park,1,Tuesday,1,False,6081602400,8.4,8.1,8.7,2020
168,37.63757,122.4327,2025-01-07 00:00:00+00:00,3.59,Brentwood Park,1,Tuesday,1,False,6081602400,8.3,7.3,9.4,2021
169,37.63757,122.4327,2025-01-07 00:00:00+00:00,3.59,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
170,37.63757,122.4327,2025-01-09 00:00:00+00:00,5.54,Brentwood Park,1,Thursday,1,False,6081602400,8.1,7.7,8.5,2018
171,37.63757,122.4327,2025-01-09 00:00:00+00:00,5.54,Brentwood Park,1,Thursday,1,False,6081602400,8.2,7.8,8.5,2019
172,37.63757,122.4327,2025-01-09 00:00:00+00:00,5.54,Brentwood Park,1,Thursday,1,False,6081602400,8.4,8.1,8.7,2020
173,37.63757,122.4327,2025-01-09 00:00:00+00:00,5.54,Brentwood Park,1,Thursday,1,False,6081602400,8.3,7.3,9.4,2021
174,37.63757,122.4327,2025-01-09 00:00:00+00:00,5.54,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
175,37.63757,122.4327,2025-01-10 00:00:00+00:00,5.77,Brentwood Park,1,Friday,1,False,6081602400,8.1,7.7,8.5,2018
176,37.63757,122.4327,2025-01-10 00:00:00+00:00,5.77,Brentwood Park,1,Friday,1,False,6081602400,8.2,7.8,8.5,2019
177,37.63757,122.4327,2025-01-10 00:00:00+00:00,5.77,Brentwood Park,1,Friday,1,False,6081602400,8.4,8.1,8.7,2020
178,37.63757,122.4327,2025-01-10 00:00:00+00:00,5.77,Brentwood Park,1,Friday,1,False,6081602400,8.3,7.3,9.4,2021
179,37.63757,122.4327,2025-01-10 00:00:00+00:00,5.77,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
180,37.63757,122.4327,2025-01-13 00:00:00+00:00,5.06,Brentwood Park,1,Monday,1,False,6081602400,8.1,7.7,8.5,2018
181,37.63757,122.4327,2025-01-13 00:00:00+00:00,5.06,Brentwood Park,1,Monday,1,False,6081602400,8.2,7.8,8.5,2019
182,37.63757,122.4327,2025-01-13 00:00:00+00:00,5.06,Brentwood Park,1,Monday,1,False,6081602400,8.4,8.1,8.7,2020
