datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2025-03-04T00:00:00.000Z,2025-03-05T00:00:00.000Z,37.63757,-122.4327,2.11,3.04,12,17,2.35,2.35,74.04,74.04,11.88,11.88,Brentwood Park
DCVIM2201,2025-03-06T00:00:00.000Z,2025-03-07T00:00:00.000Z,37.63757,-122.4327,1.77,2.99,9,16,1.75,1.75,72.49,72.49,10.98,10.98,Brentwood Park
DCVIM2201,2025-02-16T00:00:00.000Z,2025-02-17T00:00:00.000Z,37.63757,-122.4327,8.65,5.41,48,30,7.91,7.91,75.62,75.62,10.92,10.92,Brentwood Park
DCVIM2201,2024-12-06T00:00:00.000Z,2024-12-07T00:00:00.000Z,37.63757,-122.4327,20.02,10.02,71,53,20.85,20.85,74.79,74.79,12.58,12.58,Brentwood Park
DCVIM2201,2024-12-12T00:00:00.000Z,2024-12-13T00:00:00.000Z,37.63757,-122.4327,11.98,6.77,56,37,10.45,10.45,77.67,77.67,12.58,12.58,Brentwood Park
DCVIM2201,2024-12-09T00:00:00.000Z,2024-12-10T00:00:00.000Z,37.63757,-122.4327,13.07,6.89,58,38,11.68,11.68,66.17,66.17,10.98,10.98,Brentwood Park
DCVIM2201,2024-12-15T00:00:00.000Z,2024-12-16T00:00:00.000Z,37.63757,-122.4327,9.33,5.08,51,28,7.68,7.68,84.22,84.22,8.87,8.87,Brentwood Park
DCVIM2201,2025-03-20T00:00:00.000Z,2025-03-21T00:00:00.000Z,37.63757,-122.4327,2.1,3.13,12,17,2.21,2.21,70.71,70.71,12.06,12.06,Brentwood Park
DCVIM2201,2025-02-24T00:00:00.000Z,2025-02-25T00:00:00.000Z,37.63757,-122.4327,4.65,3.38,26,18,4.52,4.52,82.3,82.3,14.35,14.35,Brentwood Park
DCVIM2201,2025-03-03T00:00:00.000Z,2025-03-04T00:00:00.000Z,37.63757,-122.4327,2.9,3.62,16,20,2.5,2.5,72.1,72.1,11.3,11.3,Brentwood Park
